"name","genres","director","actor1","actor2","actor3","color","plotkey","language","year","score"
"The To Do List ","Comedy|Romance","Maggie Carey","Donald Glover","Alia Shawkat","Scott Porter","Color","feces in a swimming pool|female vomiting|high school|lifeguard|male objectification","English",2013,5.8
"Amigo ","Drama|War","John Sayles","Brian Lee Franklin","John Arcilla","Ronnie Lazaro","Color","american|filipino|friendship|guerrilla army|village","English",2010,5.8
"Hits ","Comedy|Drama","David Cross","Jason Ritter","Matt Walsh","Amy Sedaris","Color","courtroom|independent film|internet|small town|youtube","English",2014,5.8
"Proud ","Drama","Mary Pat Kelly","Aidan Quinn","Ossie Davis","Janet Hubert","Color","","English",2004,5.8
"Johnny Suede ","Comedy|Music|Romance","Tom DiCillo","Brad Pitt","Tina Louise","Nick Cave"," Black and White","idol|musician|vomiting|watching television|wyoming","English",1991,5.8
"Rubber ","Comedy|Fantasy|Horror","Quentin Dupieux","Haley Ramm","Jack Plotnick","Cecelia Antoinette","Color","desert|dump|show|spectator|tire","English",2010,5.8
"Insomnia Manica ","Thriller","Daston Kalili","Daston Kalili","Rai Alexandra","Chin-Chien Chang","Color","","English",2005,5.8
"Fabled ","Drama|Horror|Mystery|Thriller","Ari Kirschenbaum","R. Brandon Johnson","Adam LeFevre","Desmond Askew"," Black and White","","English",2002,5.8
"The Calling ","Thriller","Jason Stone","Topher Grace","Ellen Burstyn","Christopher Heyerdahl","Color","bouquet|house fire|praying|serial killer|tied to a chair","English",2014,5.8
"Penitentiary ","Crime|Drama|Sport","Jamaa Fanaka","Leon Isaac Kennedy","Chuck Mitchell","Wilbur 'Hi-Fi' White","Color","blaxploitation|boxing|convict|drifter|false accusation","English",1979,5.8
"Absentia ","Drama|Horror|Mystery","Mike Flanagan","Justin Gordon","Courtney Bell","Erin Cipolletti","Color","anticipate|dead in absentia|foetus|tunnel|unreliable narration","English",2011,5.8
"Battleship ","Action|Adventure|Sci-Fi|Thriller","Peter Berg","Liam Neeson","Alexander Skarsgård","Tadanobu Asano","Color","box office flop|hawaii|naval|oahu hawaii|ship","English",2012,5.9
"Night at the Museum: Battle of the Smithsonian ","Adventure|Comedy|Family|Fantasy","Shawn Levy","Robin Williams","Rami Malek","Steve Coogan","Color","hdtv|motorcycle|museum|security guard|tyrannosaurus rex","English",2009,5.9
"Happy Feet 2 ","Animation|Comedy|Family|Musical","George Miller","Robin Williams","Brad Pitt","Common","Color","3d|antarctica|krill|penguin|sequel","English",2011,5.9
"Teenage Mutant Ninja Turtles ","Action|Adventure|Comedy|Sci-Fi","Jonathan Liebesman","Noel Fisher","Danny Woodburn","Jeremy Howard","Color","18 wheeler|mutant|ninja|sewer|turtle","English",2014,5.9
"Stuart Little ","Adventure|Comedy|Family|Fantasy","Rob Minkoff","Chazz Palminteri","Nathan Lane","Jeffrey Jones","Color","box office hit|cat|first part|mouse|orphanage","English",1999,5.9
"Jurassic Park III ","Action|Adventure|Sci-Fi|Thriller","Joe Johnston","Michael Jeter","Trevor Morgan","Alessandro Nivola","Color","dinosaur|island|jurassic park|paleontologist|search","English",2001,5.9
"Percy Jackson & the Olympians: The Lightning Thief ","Adventure|Family|Fantasy","Chris Columbus","Logan Lerman","Rosario Dawson","Steve Coogan","Color","greek|lightning|lightning bolt|poseidon|teenager","English",2010,5.9
"Percy Jackson: Sea of Monsters ","Adventure|Family|Fantasy","Thor Freudenthal","Logan Lerman","Leven Rambin","Brandon T. Jackson","Color","golden fleece|half brother|magical tree|sea|tree","English",2013,5.9
"The 6th Day ","Action|Mystery|Sci-Fi|Thriller","Roger Spottiswoode","Robert Duvall","Michael Rapaport","Tony Goldwyn","Color","clone|cloning|future|laser gun|murder","English",2000,5.9
"The Time Machine ","Action|Adventure|Sci-Fi","Simon Wells","Mark Addy","Alan Young","Josh Stamberg","Color","hunter|scientist|time machine|time travel|time travel romance","English",2002,5.9
"The Legend of Zorro ","Action|Adventure|Western","Martin Campbell","Michael Emerson","Nick Chinlund","Adrian Alonso","Color","california|fight|hero|mask|zorro","Spanish",2005,5.9
"The Brothers Grimm ","Action|Adventure|Comedy|Fantasy|Thriller","Terry Gilliam","Matt Damon","Heath Ledger","Mackenzie Crook","Color","creature|curse|exorcism|girl|village","English",2005,5.9
"2 Fast 2 Furious ","Action|Crime|Thriller","John Singleton","Paul Walker","Cole Hauser","Mo Gallini","Color","bust|racing|shotgun|street racing|undercover agent","English",2003,5.9
"The Invasion ","Sci-Fi|Thriller","Oliver Hirschbiegel","Roger Rees","Veronica Cartwright","Jeremy Northam","Color","alien|epidemic|psychiatrist|space shuttle|virus","English",2007,5.9
"Vertical Limit ","Action|Adventure|Drama|Thriller","Martin Campbell","Nicholas Lea","Scott Glenn","Ben Mendelsohn","Color","death|die hard scenario|k2|rescue|urination","English",2000,5.9
"First Knight ","Action|Adventure|Romance|Thriller","Jerry Zucker","Julia Ormond","Ben Cross","John Gielgud","Color","battle|king|king arthur|knight|marriage","English",1995,5.9
"Snake Eyes ","Crime|Mystery|Thriller","Brian De Palma","Nicolas Cage","Mike Starr","John Heard","Color","assassination|boxing|casino|conspiracy|long take","English",1998,5.9
"Rock of Ages ","Comedy|Drama|Musical|Romance","Adam Shankman","James Martin Kelly","Shane Hartline","Celina Beach","Color","concert|love|music industry|panties|pole dancer","English",2012,5.9
"Hall Pass ","Comedy|Romance","Bobby Farrelly","Jenna Fischer","Larry Joe Campbell","Stephen Merchant","Color","drugged food|female frontal nudity|male frontal nudity|male nudity|marriage","English",2011,5.9
"Dinner for Schmucks ","Comedy","Jay Roach","Steve Carell","Stephanie Szostak","Bruce Greenwood","Color","dinner|diorama|idiot|irs|mouse","English",2010,5.9
"Abraham Lincoln: Vampire Hunter ","Action|Fantasy|Horror","Timur Bekmambetov","Rufus Sewell","Dominic Cooper","Benjamin Walker","Color","chopping down a tree|hanging upside down|shopkeeper|vampire|vampire hunter","English",2012,5.9
"Blade: Trinity ","Action|Adventure|Fantasy|Horror|Sci-Fi|Thriller","David S. Goyer","Ryan Reynolds","Natasha Lyonne","John Michael Higgins","Color","blade|blood|dracula|vampire hunter|vampire slayer","English",2004,5.9
"3000 Miles to Graceland ","Action|Comedy|Crime|Thriller","Demian Lichtenstein","Jon Lovitz","Bokeem Woodbine","Ice-T","Color","casino|elvis impersonator|gun|heist|rascal","English",2001,5.9
"Wild Hogs ","Action|Adventure|Comedy","Walt Becker","Jill Hennessy","Tichina Arnold","Drew Sidora","Color","biker gang|friend|motorcycle|new mexico|road trip","English",2007,5.9
"Days of Thunder ","Action|Drama|Sport","Tony Scott","Tom Cruise","Robert Duvall","Randy Quaid","Color","driver|hot shot|racing|stock car driver|team","English",1990,5.9
"London Has Fallen ","Action|Crime|Drama|Thriller","Babak Najafi","Gerard Butler","Radha Mitchell","Julian Kostov","Color","british|funeral|good versus evil|mole|sequel","English",2016,5.9
"Analyze That ","Comedy|Crime","Harold Ramis","Robert De Niro","Cathy Moriarty","Joe Viterelli","Color","blonde|mafia|mental illness|prison|second part","English",2002,5.9
"Resident Evil: Afterlife ","Action|Adventure|Horror|Sci-Fi","Paul W.S. Anderson","Milla Jovovich","Boris Kodjoe","Shawn Roberts","Color","alaska|female gunfighter|mutation|ship|siege","English",2010,5.9
"Red Tails ","Action|Adventure|Drama|History|War","Anthony Hemingway","David Oyelowo","Nate Parker","Tristan Mack Wilds","Color","african american|battle|italy|tuskegee airmen|world war two","English",2012,5.9
"Captain Corelli's Mandolin ","Drama|Music|Romance|War","John Madden","Christian Bale","Irene Papas","Mihalis Giannatos","Color","captain|greek|island|italian|love","English",2001,5.9
"Free Birds ","Adventure|Animation|Comedy|Family","Jimmy Hayward","Amy Poehler","Carlos Ponce","Dan Fogler","Color","chipmunk|hunting dog|sabotage|thanksgiving|turkey the bird","English",2013,5.9
"Shaft ","Action|Crime|Thriller","John Singleton","Christian Bale","Vanessa Williams","Daniel von Bargen","Color","blaxploitation|detective|drugs|shaft|trial","English",2000,5.9
"Beloved ","Drama|History|Horror","Jonathan Demme","Oprah Winfrey","Kimberly Elise","Hill Harper","Color","farm|freedom|ohio|slavery|spirit","English",1998,5.9
"Lucky You ","Drama|Romance|Sport","Curtis Hanson","Robert Downey Jr.","Robert Duvall","Kelvin Han Yee","Color","losing|poker|poker player|reference to frederic chopin|reference to johannes brahms","English",2007,5.9
"The Peacemaker ","Action|Thriller","Mimi Leder","Armin Mueller-Stahl","Holt McCallany","Marcel Iures","Color","nuclear explosion|nuclear weapon|russia|train|train crash","English",1997,5.9
"Bridget Jones: The Edge of Reason ","Comedy|Drama|Romance","Beeban Kidron","Colin Firth","Jim Broadbent","Celia Imrie","Color","american actress playing british character|intern|prison|six word title|thailand","English",2004,5.9
"The Story of Us ","Comedy|Drama|Romance","Rob Reiner","Bruce Willis","Tim Matheson","Rita Wilson","Color","four word title|husband wife relationship|male rear nudity|marriage|summer camp","English",1999,5.9
"The Host ","Action|Adventure|Romance|Sci-Fi|Thriller","Andrew Niccol","J.D. Evermore","Chandler Canterbury","Rachel Roberts","Color","alien|alien creature|body snatching|desert|parasite","English",2013,5.9
"Baby's Day Out ","Adventure|Comedy|Crime|Drama|Family","Patrick Read Johnson","Joe Mantegna","Lara Flynn Boyle","Cynthia Nixon","Color","baby|baby boy|kidnapping|kidnapping a child|taxi","English",1994,5.9
"The One ","Action|Sci-Fi|Thriller","James Wong","Jason Statham","Jet Li","Delroy Lindo","Color","fight|multiverse|police|police officer|prison","English",2001,5.9
"The Indian in the Cupboard ","Drama|Family|Fantasy","Frank Oz","Steve Coogan","Vincent Kartheiser","David Keith","Color","best friend|birthday|boy|friend|magic","English",1995,5.9
"The Ant Bully ","Adventure|Animation|Comedy|Family|Fantasy","John A. Davis","Nicolas Cage","Meryl Streep","Julia Roberts","Color","ant|miniaturization|punishment|shrinking|sudden change in size","English",2006,5.9
"Along Came Polly ","Comedy|Romance","John Hamburg","Philip Seymour Hoffman","Masi Oka","Debra Messing","Color","bride|friend|honeymoon|insurance|insurance company","English",2004,5.9
"Ride Along 2 ","Action|Comedy","Tim Story","Olivia Munn","Nadine Velazquez","Bruce McGill","Color","computer hacker|crime boss|detective|drugs|wedding","English",2016,5.9
"Shallow Hal ","Comedy|Drama|Fantasy|Romance","Bobby Farrelly","Jason Alexander","Bruce McGill","Susan Ward","Color","dying|friend|inner beauty|love|self help guru","English",2001,5.9
"Escape from Planet Earth ","Adventure|Animation|Comedy|Family|Sci-Fi","Cal Brunker","Brendan Fraser","Paul Scheer","Jonathan Morgan Heit","Color","alien|cult film|mission control|product placement|rescue","English",2013,5.9
"Legal Eagles ","Comedy|Crime|Romance","Ivan Reitman","Brian Dennehy","Debra Winger","Roscoe Lee Browne","Color","judicial|judiciary|lawyer|murder|painting","English",1986,5.9
"Final Destination 5 ","Horror","Steven Quale","Emma Bell","Jacqueline MacInnes Wood","Courtney B. Vance","Color","blood splatter|death|eyeball run over by car|latex gloves|suspension bridge","English",2011,5.9
"At First Sight ","Drama|Romance","Irwin Winkler","Mira Sorvino","Nathan Lane","Steven Weber"," Black and White","based on article|blindness|box office flop|massage therapist|regaining sight","English",1999,5.9
"Kiss of Death ","Action|Crime|Thriller","Barbet Schroeder","Nicolas Cage","Michael Rapaport","Philip Baker Hall","Color","beard|female nudity|police brutality|stripper|woman in lingerie","English",1995,5.9
"Memoirs of an Invisible Man ","Comedy|Romance|Sci-Fi|Thriller","John Carpenter","Richard Epcar","Michael McKean","Patricia Heaton","Color","accident|bar|chase|cia|laboratory","English",1992,5.9
"Cirque du Freak: The Vampire's Assistant ","Action|Adventure|Fantasy|Thriller","Paul Weitz","Josh Hutcherson","Salma Hayek","Patrick Fugit","Color","antidote|based on young adult novel|flyer|spider|vampire","English",2009,5.9
"A Thousand Words ","Comedy|Drama","Brian Robbins","John Gatins","Lou Saliba","Greg Collins","Color","box office flop|buddhist|liar|literary agent|magical tree","English",2012,5.9
"There Be Dragons ","Biography|Drama|War","Roland Joffé","Jordi Mollà","Dougray Scott","Lily Cole","Color","dying|forgiveness|saint|spanish civil war|starts with narration","English",2011,5.9
"Guess Who ","Comedy|Romance","Kevin Rodney Sullivan","Bernie Mac","Nicole Sullivan","Sherri Shepherd","Color","argument|engagement|family relationships|love|undressing","English",2005,5.9
"Must Love Dogs ","Comedy|Romance","Gary David Goldberg","Stockard Channing","Victor Webster","Elizabeth Perkins","Color","date|dating|dog|love|teacher","English",2005,5.9
"Something Borrowed ","Comedy|Drama|Romance","Luke Greenfield","Ashley Williams","Steve Howey","Kirsten Day","Color","best friend|crush|law school|lawyer|loud sex","English",2011,5.9
"The X Files: I Want to Believe ","Drama|Mystery|Sci-Fi|Thriller","Chris Carter","Mitch Pileggi","Callum Rennie","Nicki Aycox","Color","fbi|priest|psychic|psychic vision|staff physician","English",2008,5.9
"1941 ","Action|Comedy|War","Steven Spielberg","Christopher Lee","John Belushi","Treat Williams","Color","california|captain|cult film|pearl harbor|submarine","English",1979,5.9
"Laws of Attraction ","Comedy|Romance","Peter Howitt","Frances Fisher","Mike Doyle","Nora Dunn","Color","date|divorce|divorce lawyer|drinking|lawyer","English",2004,5.9
"The Incredible Burt Wonderstone ","Comedy","Don Scardino","Steve Buscemi","Olivia Wilde","Steve Carell","Color","magic|magic kit|magician|stage magician|vegas","English",2013,5.9
"Hope Floats ","Drama|Romance","Forest Whitaker","Bill Cobbs","Harry Connick Jr.","Gena Rowlands","Color","best friend|friend|mother daughter relationship|small town|texas","English",1998,5.9
"Without a Paddle ","Adventure|Comedy|Mystery","Steven Brill","Antony Starr","Scott Adsit","Bonnie Somerville","Color","death|friend|hijacker|river|tree house","English",2004,5.9
"Carrie ","Drama|Fantasy|Horror","Kimberly Peirce","Chloë Grace Moretz","Judy Greer","Portia Doubleday","Color","outcast|prom|self injury|telekinesis|tragic event","English",2013,5.9
"The Prince and Me ","Comedy|Family|Romance","Martha Coolidge","Devin Ratray","Miranda Richardson","Luke Mably","Color","denmark|king|love|prince|wisconsin","English",2004,5.9
"Sanctum ","Adventure|Drama|Thriller","Alister Grierson","Ioan Gruffudd","Rhys Wakefield","Richard Roxburgh","Color","cave|expedition|panic|rebreather|underwater","English",2011,5.9
"88 Minutes ","Crime|Drama|Mystery|Thriller","Jon Avnet","Al Pacino","Alicia Witt","Deborah Kara Unger","Color","death|fbi|forensics|murder|serial killer","English",2007,5.9
"The Rugrats Movie ","Adventure|Animation|Comedy|Drama|Family|Musical","Igor Kovalyov","Elizabeth Daily","Cree Summer","Christine Cavanaugh","Color","baby|home|hospital|lost|newborn baby","English",1998,5.9
"Suspect Zero ","Crime|Drama|Mystery|Thriller","E. Elias Merhige","Harry Lennix","Kevin Chamberlin","William Mapother","Color","fbi|fbi agent|murder|salesman|serial killer","English",2004,5.9
"Hide and Seek ","Drama|Horror|Mystery|Thriller","John Polson","Robert De Niro","Dylan Baker","Robert John Burke","Color","bathtub|psychologist|pushed out a window|smothered with a pillow|telescope","English",2005,5.9
"The Ruins ","Horror","Carter Smith","Laura Ramsey","Jonathan Tucker","Sergio Calderón","Color","bow and arrow|group of friends|horse|rifle|ruins","English",2008,5.9
"The Possession ","Horror|Thriller","Ole Bornedal","Kyra Sedgwick","Madison Davenport","Natasha Calis","Color","basketball coach|box|jewish|rabbi|yard sale","English",2012,5.9
"Stone Cold ","Action|Crime|Drama|Thriller","Craig R. Baxley","Brian Bosworth","Sam McMurray","Richard Gant","Color","biker|biker gang|fbi|mississippi|undercover","English",1991,5.9
"Saving Silverman ","Comedy|Crime|Romance","Dennis Dugan","Amanda Detmer","Neil Diamond","Kyle Gass","Color","female nudity|friend|kidnapping|love|nun","English",2001,5.9
"Firefox ","Action|Adventure|Thriller","Clint Eastwood","Clint Eastwood","Warren Clarke","Kenneth Colley","Color","fighter plane|jet fighter|refueling|russia|soviet union","English",1982,5.9
"Premonition ","Drama|Mystery|Thriller","Mennan Yapo","Nia Long","Amber Valletta","Marc Macaulay","Color","car|car accident|housewife|sheriff|suburb","English",2007,5.9
"The Black Hole ","Action|Sci-Fi","Gary Nelson","Robert Forster","Maximilian Schell","Yvette Mimieux","Color","black hole|escape|palomino|robot|scientist","English",1979,5.9
"Nancy Drew ","Comedy|Crime|Family|Mystery|Romance|Thriller","Andrew Fleming","Kay Panabaker","Laura Harring","Tate Donovan","Color","chase|clue|detective|movie star|murder","English",2007,5.9
"My Best Friend's Girl ","Comedy|Romance","Howard Deutch","Dane Cook","Taran Killam","Riki Lindhome","Color","breasts|female rear nudity|jesus crust pizza parlor|thong panties|wedding","English",2008,5.9
"Georgia Rule ","Comedy|Drama","Garry Marshall","Hector Elizondo","Zachary Gordon","Jane Fonda","Color","alcoholic|rules|secret|summer|teenager","English",2007,5.9
"School for Scoundrels ","Comedy","Todd Phillips","Jon Heder","Sarah Silverman","Jacinda Barrett","Color","paintball|paintball gun|pepper spray|tennis|what happened to epilogue","English",2006,5.9
"A Cinderella Story ","Comedy|Family|Romance","Mark Rosman","Dan Byrd","Lin Shaye","Julie Gonzalo","Color","cinderella story|correspondence|evil step mother|female protagonist|teenage girl","English",2004,5.9
"9½ Weeks ","Drama|Romance","Adrian Lyne","David Margulies","Karen Young","Kim Chan","Color","blindfolded woman|control|male dominance|sex game|sex in public","English",1986,5.9
"The Wraith ","Action|Horror|Romance|Sci-Fi|Thriller","Mike Marvin","Clint Howard","Randy Quaid","Nick Cassavetes","Color","arizona|death|gang|police|sheriff","English",1986,5.9
"My Life in Ruins ","Comedy|Romance","Donald Petrie","Nia Vardalos","Harland Williams","Rachel Dratch","Color","greece|greek|tour bus|tour guide|tourist","English",2009,5.9
"The Texas Chainsaw Massacre: The Beginning ","Horror","Jonathan Liebesman","Matt Bomer","Jordana Brewster","Lew Temple","Color","cannibal|car accident|leatherface|psychopath|slaughterhouse","English",2006,5.9
"Joe Dirt ","Adventure|Comedy|Drama","Dennie Gordon","Brittany Daniel","Erik Per Sullivan","Fred Ward","Color","first part|grand canyon|highway travel|indian|janitor","English",2001,5.9
"Slow Burn ","Drama|Mystery|Thriller","Wayne Beach","Mekhi Phifer","LL Cool J","Fisher Stevens","Color","district attorney|interview|murder|prosecutor|reporter","English",2005,5.9
"3 Men and a Baby ","Comedy|Drama|Family","Leonard Nimoy","Tom Selleck","Ted Danson","Steve Guttenberg","Color","1980s|baby|heroin|package|questioned by police","English",1987,5.9
"Raise Your Voice ","Family|Music|Romance","Sean McNamara","Oliver James","Rebecca De Mornay","Jason Ritter","Color","music school|scholarship|small town|stage fright|three word title","English",2004,5.9
"The Good Night ","Comedy|Drama|Fantasy|Music|Romance","Jake Paltrow","Stephen Graham","Gael Le Cornec","Keith Allen","Color","commercial|dream|dreaming|girl|new york city","English",2007,5.9
"The Possession ","Horror|Thriller","Ole Bornedal","Kyra Sedgwick","Madison Davenport","Natasha Calis","Color","basketball coach|box|jewish|rabbi|yard sale","English",2012,5.9
"Poetic Justice ","Drama|Romance","John Singleton","Janet Jackson","Khandi Alexander","Maya Angelou","Color","african american|mail carrier|poetry|postal worker|south central los angeles","English",1993,5.9
"Gossip ","Drama|Mystery|Thriller","Davis Guggenheim","Norman Reedus","Sharon Lawrence","Noam Jenkins","Color","college|college campus|gossip|rape|sex","English",2000,5.9
"Teenage Mutant Ninja Turtles ","Action|Adventure|Comedy|Sci-Fi","Jonathan Liebesman","Noel Fisher","Danny Woodburn","Jeremy Howard","Color","18 wheeler|mutant|ninja|sewer|turtle","English",2014,5.9
"The New Guy ","Comedy","Ed Decter","Zooey Deschanel","Eddie Griffin","Gene Simmons","Color","cheerleader|geek|high school|prison|reference to janet jackson","English",2002,5.9
"Harriet the Spy ","Comedy|Drama|Family","Bronwen Hughes","Gregory Smith","Eartha Kitt","Charlotte Sullivan","Color","binoculars|child spy|notebook|secret|spy","English",1996,5.9
"21 & Over ","Comedy","Jon Lucas","Justin Chon","Josie Loren","Sarah Wright","Color","21st birthday|college student|drunken man|pubic hair|standing up to father","English",2013,5.9
"Faithful ","Comedy|Crime|Drama","Paul Mazursky","Chazz Palminteri","Ryan O'Neal","Paul Mazursky","Color","bathroom|bathtub|female protagonist|flashback|kitchen","English",1996,5.9
"The Golden Child ","Action|Adventure|Comedy|Fantasy|Mystery","Michael Ritchie","Victor Wong","Randall 'Tex' Cobb","Charlotte Lewis","Color","boy|child|chosen one|demon|detective","English",1986,5.9
"Katy Perry: Part of Me ","Documentary|Music","Dan Cutforth","Lexie Contursi","Ashley Ashida Dixon","Anthony Burrell","Color","female protagonist|reference to britney spears|singer|song|world tour","English",2012,5.9
"Fortress ","Action|Crime|Sci-Fi|Thriller","Stuart Gordon","Christopher Lambert","Kurtwood Smith","Clifton Collins Jr.","Color","escape|future|population control|prison|prisoner","English",1992,5.9
"Bring It On ","Comedy|Sport","Peyton Reed","Kirsten Dunst","Lindsay Sloane","Clare Kramer","Color","championship|cheerleading|high school|teen comedy|teenage romance","English",2000,5.9
"Saw IV ","Horror|Mystery","Darren Lynn Bousman","Costas Mandylor","Shawnee Smith","Angus Macfadyen","Color","detective|fbi|rape|rapist|serial rapist","English",2007,5.9
"The Grudge ","Horror|Mystery|Thriller","Takashi Shimizu","Sarah Michelle Gellar","Clea DuVall","Ted Raimi","Color","american|curse|japan|nurse|rage","English",2004,5.9
"The Fourth Kind ","Mystery|Sci-Fi|Thriller","Olatunde Osunsanmi","Milla Jovovich","Will Patton","Hakeem Kae-Kazim","Color","abduction|alaska|alien|owl|patient","English",2009,5.9
"Sugar Hill ","Drama|Thriller","Leon Ichaso","Khandi Alexander","Clarence Williams III","Steve Harris"," Black and White","african american|harlem manhattan new york city|manhattan new york city|new york city|urination","English",1993,5.9
"Reno 911!: Miami ","Comedy|Crime","Robert Ben Garant","Wendi McLendon-Covey","Thomas Lennon","Carlos Alazraqui","Color","beach|police|sex scene|spring break|vomiting","English",2007,5.9
"Hey Arnold! The Movie ","Adventure|Animation|Comedy|Family","Tuck Tucker","Jennifer Jason Leigh","Vincent Schiavelli","Paul Sorvino","Color","castle thunder|document|neighborhood|punctuation in title|villain arrested","English",2002,5.9
"The Good Guy ","Comedy|Romance","Julio DePietro","Adrian Martinez","Scott Porter","Aaron Yoo","Color","book club|cheating boyfriend|job promotion|manhattan new york city|new york city","English",2009,5.9
"Barbarella ","Adventure|Comedy|Fantasy|Sci-Fi","Roger Vadim","Jane Fonda","David Hemmings","Milo O'Shea","Color","41st century|angel|future|laser gun|space opera","English",1968,5.9
"The Death and Life of Bobby Z ","Action|Crime|Thriller","John Herzfeld","Paul Walker","Olivia Wilde","Jason Flemyng","Color","drug lord|on the run|prison|vegan|vegetarian","English",2007,5.9
"The Extra Man ","Comedy","Shari Springer Berman","Lynn Cohen","Marian Seldes","Dan Hedaya","Color","co worker|escort|magazine|teacher|writer","English",2010,5.9
"Friends with Money ","Comedy|Drama|Romance","Nicole Holofcener","Greg Germann","Marin Hinkle","Jake Cherry","Color","friend|friendship|marital problem|money problems|nervous breakdown","English",2006,5.9
"200 Cigarettes ","Comedy|Drama|Romance","Risa Bramon Garcia","Janeane Garofalo","Dave Chappelle","Gaby Hoffmann","Color","bartender|friend|new year's eve|party|punk","English",1999,5.9
"Don McKay ","Drama|Mystery|Thriller","Jake Goldberger","Pruitt Taylor Vince","M. Emmet Walsh","Robert Wahlberg","Color","dead body|dead body in a freezer|dead body wrapped in carpet|person in a car trunk|school janitor","English",2009,5.9
"Halloween 4: The Return of Michael Myers ","Horror|Thriller","Dwight H. Little","Donald Pleasence","Kathleen Kinmont","Ellie Cornell","Color","halloween|michael myers|murder|niece|october","English",1988,5.9
"Digimon: The Movie ","Action|Adventure|Animation|Family|Sci-Fi","Mamoru Hosoda","Lara Jill Miller","Colleen O'Shaughnessey","Mona Marshall","Color","based on video game|box office hit|computer|digimon|internet","English",2000,5.9
"Hostel ","Horror","Eli Roth","Jay Hernandez","Takashi Miike","Rick Hoffman","Color","bratislava|hostel|sadistic horror|torture|travel","English",2005,5.9
"Savage Grace ","Drama","Tom Kalin","Eddie Redmayne","Elena Anaya","Stephen Dillane","Color","incest|male nudity|older man younger woman relationship|orgasm|son murders mother","English",2007,5.9
"After.Life ","Drama|Horror|Mystery|Thriller","Agnieszka Wojtowicz-Vosloo","Liam Neeson","Josh Charles","Chandler Canterbury","Color","breath on mirror|buried alive|engagement ring|looking at one's self in a mirror|serial killer","English",2009,5.9
"R.L. Stine's Monsterville: The Cabinet of Souls ","Comedy","Peter DeLuise","Katherine McNamara","Dove Cameron","Braeden Lemasters","Color","cabinet|carnival|halloween|soul|temptress","English",2015,5.9
"The Night Listener ","Crime|Mystery|Thriller","Patrick Stettner","Robin Williams","Joe Morton","Rory Culkin","Color","boy|radio show|social worker|telephone|wisconsin","English",2006,5.9
"Prison ","Crime|Drama|Horror|Thriller","Renny Harlin","Viggo Mortensen","Lane Smith","Hal Landon Jr.","Color","electric chair|haunting|prison|prisoner|revenge","English",1987,5.9
"Among Giants ","Comedy|Romance","Sam Miller","Rachel Griffiths","Alan Williams","Rob Jarvis","Color","australian|female armpit hair|friend|sheffield|yorkshire","English",1998,5.9
"Jason Lives: Friday the 13th Part VI ","Horror|Thriller","Tom McLoughlin","Tony Goldwyn","Ron Palillo","Vincent Guastaferro","Color","actual animal killed|death|jason voorhees|slasher flick|teen horror","English",1986,5.9
"Next Day Air ","Action|Comedy|Crime","Benny Boom","Omari Hardwick","Donald Faison","Mike Epps","Color","cocaine|package|slow motion scene|topless female nudity|wrong address","English",2009,5.9
"Fort McCoy ","Drama|History|War","Kate Connor","Johnny Pacar","Eric Stoltz","Brendan Fehr","Color","","English",2011,5.9
"Tanner Hall ","Drama","Francesca Gregorini","Tom Everett Scott","Amy Sedaris","Chris Kattan","Color","boarding school|coming of age|female friendship|lesbian|new england","English",2009,5.9
"Barry Munday ","Comedy|Drama|Romance","Chris D'Arienzo","Judy Greer","Cybill Shepherd","Shea Whigham","Color","doctor|letter|paternity|sex|testicles","English",2010,5.9
"Friday the 13th: The Final Chapter ","Horror|Thriller","Joseph Zito","Judie Aronson","Tom Everett","Kimberly Beck","Color","friday the thirteenth|hockey mask|jason voorhees|morgue|slasher","English",1984,5.9
"Sleep Dealer ","Drama|Romance|Sci-Fi|Thriller","Alex Rivera","Leonor Varela","Jacob Vargas","Tenoch Huerta","Color","computer|future|mexican immigrant|network|wilhelm scream","Spanish",2008,5.9
"Redemption Road ","Drama","Mario Van Peebles","Tom Skerritt","Cinda McCain","Luke Perry","Color","death of loved one|loss of father|loss of loved one|musician|singer","English",2010,5.9
"The Last Sin Eater ","Drama","Michael Landon Jr.","Henry Thomas","Louise Fletcher","A.J. Buckley","Color","1850s|christian film|dark secret|funeral|sin eater","English",2007,5.9
"Do You Believe? ","Drama","Jon Gunn","Alexa PenaVega","Delroy Lindo","Madison Pettis","Color","belief|faith|pastor|question in title|three word title","English",2015,5.9
"The Last Five Years ","Comedy|Drama|Musical|Romance","Richard LaGravenese","Anna Kendrick","Jeremy Jordan","Charly Bivona","Color","based on play|number in title","English",2014,5.9
"Return of the Living Dead III ","Horror|Romance|Sci-Fi","Brian Yuzna","Melinda Clarke","Kent McCord","Sarah Douglas","Color","female nudity|living dead|self mutilation|sequel|zombie","English",1993,5.9
"Carrie ","Drama|Fantasy|Horror","Kimberly Peirce","Chloë Grace Moretz","Judy Greer","Portia Doubleday","Color","outcast|prom|self injury|telekinesis|tragic event","English",2013,5.9
"From a Whisper to a Scream ","Action|Drama|Horror|Thriller","Jeff Burr","Terry Kiser","Clu Gulager","Susan Tyrrell","Color","bathtub|cult film|neck breaking|tennessee|wraparound story","English",1987,5.9
"Cry_Wolf ","Drama|Horror|Mystery|Thriller","Jeff Wadlow","Julian Morris","Gary Cole","Lindy Booth","Color","e mail|game|school|serial killer|student","English",2005,5.9
